season,game_id,team,X1PP,X2PP,X3PP,AST,OREB,TO,MOV
2017,c7b26b9d-92dd-44cb-965f-711b0a334ee2,UTA,0.576923077,0.651162791,0.387096774,24,7,15,10
2017,cbb58bbd-fa19-4e86-87a5-a3f26b39c56b,NO,0.833333333,0.516129032,0.3,23,2,15,-19
2017,9f620e69-20fe-4891-afdb-5fb6f9c11935,IND,0.677419355,0.613636364,0.384615385,20,8,14,4
2019,99d3ede2-465e-41db-aa18-187e3fb7585b,POR,0.653846154,0.64,0.256410256,22,10,11,-12
2017,48c36b46-0d71-41c1-8cae-45fd53b8a514,UTA,0.764705882,0.5625,0.272727273,11,9,13,-15
2019,2cc16b44-0f7c-4b8d-a5d3-1c5952218ade,CLE,0.739130435,0.418181818,0.459459459,26,16,14,7
2018,d9ecba00-e69b-48c4-a0f4-4a251fee8fce,ATL,0.588235294,0.526315789,0.360655738,36,15,9,1
2019,ca3664ab-4861-478d-adab-66f26bb8d998,MIA,0.590909091,0.490196078,0.357142857,25,9,13,-13
2019,02d05fac-b2f2-43bb-9b96-78d1112388e6,DET,0.84,0.487804878,0.368421053,23,9,13,15
2017,6b2bb665-b1f3-4fcd-8c12-d1a7378e81ec,BOS,0.6,0.50877193,0.423076923,27,5,9,30
2019,192bed1c-9312-45b3-84a2-3874a9bf92f0,DEN,0.739130435,0.621212121,0.25,31,10,20,13
2018,d70401b2-9ff2-44d4-b13c-d794d2091340,WAS,0.818181818,0.530612245,0.378378378,29,7,17,6
2017,b9727f86-2f81-4cb6-8d7d-afc1bba8de34,GS,0.777777778,0.642857143,0.5,35,4,16,15
2017,323d4635-46fe-4b31-86fb-ed074590234c,SA,0.695652174,0.5,0.25,19,18,20,4
2018,cd540d35-ef4c-4cdc-8fef-2a34a0a18b08,WAS,0.777777778,0.465517241,0.358974359,28,13,15,-6
2019,d7f6507a-b572-42a6-ba75-f95bf8b5fb2a,LAC,0.9,0.6,0.461538462,35,11,10,29
2018,3ff3e65c-145a-45e6-a4a8-b0bb6e638a10,OKC,0.666666667,0.38,0.407407407,31,15,15,-10
2019,6f22149b-e103-49b3-9786-19a6eb06b327,CHI,0.714285714,0.534883721,0.260869565,30,9,14,-1
2019,71a6a781-4de3-4f4d-bb95-226587855d89,DEN,0.7,0.617021277,0.5,38,7,16,15
2017,123e4049-123f-4347-90a6-6f8563bbde5a,MIN,0.85,0.593220339,0.368421053,27,4,13,19
2018,ac6a8eea-a39c-4ab0-b4d2-8b50ee4c9869,GS,0.772727273,0.555555556,0.382352941,31,12,16,17
2018,e32f7780-c809-48f0-82d8-8a2d3b31803e,SA,0.714285714,0.537313433,0.296296296,24,15,11,-7
2017,9789547e-8dc6-4c29-afbc-8c874c91da96,DET,0.608695652,0.442307692,0.444444444,30,9,17,-7
2019,7429b5f2-ecd6-4ae6-aa57-f8a552df23b4,HOU,0.894736842,0.621621622,0.384615385,25,4,7,15
2017,49ba73a4-c9ad-4ca2-a10e-96bd457d8a9e,SA,0.789473684,0.535714286,0.535714286,33,11,13,13
2017,ca8621de-193d-4c1d-9946-4a2a38d5ba7d,ATL,0.705882353,0.410958904,0.333333333,19,12,16,-15
2018,2090de8e-809a-49e5-94f4-3062b13565c0,BKN,0.774193548,0.461538462,0.315789474,23,13,14,-4
2019,b97d3fd2-041b-48b4-9084-aa0a4db29c15,UTA,0.7,0.515151515,0.25,15,11,11,5
2018,d41dc8bd-4978-426c-987b-2b93d08db510,BOS,0.764705882,0.719298246,0.382352941,36,5,14,5
2019,9009424e-60e8-465a-b8f4-4a13a46fb73c,DEN,0.6,0.568627451,0.321428571,28,3,11,14
2019,83f35873-5ac8-4f09-88bd-056b3dd30f4e,NO,0.733333333,0.526315789,0.365853659,30,12,14,-7
2018,48dad788-7064-43d2-9381-870304d52067,MEM,0.857142857,0.425925926,0.431818182,32,10,7,-2
2017,e3595aef-2626-4a90-aefd-0a79b2f1bcdd,UTA,0.861111111,0.344262295,0.448275862,16,10,14,9
2017,9c081b15-f11d-4645-95f6-79ea0cefb30a,GS,0.928571429,0.419354839,0.333333333,14,16,16,-3
2018,1b1a8944-c74b-4e05-8395-8dc55612da53,PHI,0.862745098,0.475,0.310344828,21,3,17,10
2017,2d308ce2-a4be-437a-a8e5-1bc8ea16ab7f,MLW,0.852941176,0.509090909,0.333333333,20,7,10,7
2019,f701c337-8c15-4d1c-a226-976afe76775d,TOR,0.884615385,0.42,0.411764706,24,7,14,15
2019,5595f08a-60e0-4c61-841c-feb614c5accc,CHI,0.608695652,0.515625,0.448275862,25,11,15,-6
2018,a736b182-9276-4ed3-a540-f4b28ac32b40,PHI,0.888888889,0.582089552,0.291666667,28,10,10,9
2017,5c45ed6d-e902-446e-bb24-2b2b445a2f77,NY,0.88,0.606557377,0.307692308,24,9,12,13
2019,002c1071-5e6a-4f49-b8ce-fea9594d4731,UTA,0.769230769,0.353846154,0.387096774,20,12,14,-10
2017,ee709165-434a-4931-bc6b-fceaaebb28cc,IND,0.68,0.642857143,0.375,32,3,12,15
2018,807451b8-a258-4419-978c-ea6e7c87e945,POR,0.827586207,0.524590164,0.321428571,22,17,16,7
2017,59cd7fb7-686d-427b-a0ff-c87676d86cfc,ORL,0.869565217,0.490566038,0.529411765,31,9,17,9
2018,66e040fa-5a27-4c50-b320-cfad620a5036,NY,0.80952381,0.397058824,0.275862069,17,15,14,-14
2017,b222c737-ff7e-4241-a9f6-550e11178bde,CHA,0.5,0.568965517,0.384615385,16,4,11,-4
2019,fbbba54d-f5b6-4888-9120-5dce17ceb3c7,PHI,0.787878788,0.5,0.425,27,9,17,-4
2019,d553aaea-7063-429c-8976-959351d396bd,WAS,0.791666667,0.453125,0.333333333,17,9,15,-9
2019,1d99e30a-b69a-407b-90b0-d44b7cb9c1b9,SA,0.8,0.492063492,0.4,23,9,13,-10
2017,a72b6af5-25fd-463c-b7eb-7153af8f7cb6,BOS,0.789473684,0.589285714,0.454545455,25,8,14,11
2018,2bf5fc26-fbdd-4689-a53c-b09d58f2c10b,NO,0.708333333,0.513157895,0.178571429,29,14,13,-1
2017,0f76570a-4c41-4fd5-b36f-68cf98b33cdf,CLE,0.6,0.5,0.235294118,21,9,16,-18
2018,98a41259-c73f-472f-8abc-882d5dac81fb,UTA,0.714285714,0.545454545,0.5,29,7,17,27
2019,e31e6366-ee55-467c-8ef8-b2dac9a678f9,PHO,0.870967742,0.666666667,0.441860465,30,8,14,9
2017,d8fa3e5e-b0f6-4c86-8ec3-21902238b3c9,WAS,0.857142857,0.431034483,0.34375,25,18,16,-8
2018,b493af49-c1f2-4cb9-8a51-49e33378c865,MEM,0.697674419,0.563636364,0.5,32,7,16,14
2017,d6d6de64-382e-413a-b8e1-f7b4f23331e1,NO,0.928571429,0.557142857,0.166666667,28,11,16,-4
2018,7cdf11e6-6609-45c6-8f17-5c0b2c987439,ATL,0.68,0.619047619,0.366666667,33,9,20,-7
2018,5f79abb6-449d-4c26-aca7-f8ade8511cca,ATL,0.736842105,0.603773585,0.424242424,26,10,18,-9
2019,8f00b141-8052-42d2-b1d8-e4a43ba58e58,PHO,0.766666667,0.619047619,0.285714286,26,10,8,-14
2018,44d8d4f3-7827-4b20-aa53-46992392cd55,WAS,0.692307692,0.596153846,0.325,30,12,18,24
2019,4f035b9a-3e5c-422d-b73b-d23583984c70,OKC,0.814814815,0.489361702,0.380952381,20,14,16,1
2017,1c8e42d7-ad00-49a9-9929-42b29c271b36,POR,0.888888889,0.484375,0.409090909,22,10,12,3
2019,0edc333f-c70f-4237-8c66-cae3fb45eca5,WAS,0.791666667,0.649122807,0.34375,28,9,17,12
2018,750f2276-5778-4c1e-ad87-6480880c8053,DEN,0.869565217,0.725490196,0.451612903,37,10,8,14
2018,0adbdd66-a903-4bc9-94d0-c8cf4d9d587a,ORL,0.787878788,0.5,0.243243243,21,10,14,10
2018,e0db7d91-b806-4ac4-97db-10e6e411a997,OKC,0.730769231,0.563636364,0.4,22,10,16,-2
2019,d0af24ac-7132-4a1c-b6bd-96fc7b056b95,BKN,0.705882353,0.479166667,0.166666667,15,13,13,-39
2019,edf19c27-72ee-47af-b0e0-4efc54e719d8,POR,0.785714286,0.485294118,0.333333333,19,16,17,11
2019,05847c6b-9ad0-49a4-aa2b-910a3ea66984,POR,0.947368421,0.45,0.342857143,17,7,11,-8
2017,f9ebf064-e1a2-4f47-b294-3a9bbbacde06,DET,0.681818182,0.490909091,0.541666667,28,8,14,9
2018,daeb4e3a-6dfd-4679-bd2f-a95496d2ddf9,LAC,0.857142857,0.53968254,0.466666667,28,7,10,19
2017,0b780ec7-87b7-485d-a112-4fa2841e608a,BOS,0.571428571,0.545454545,0.484848485,27,5,17,-10
2017,1fda0f27-ded2-49ef-b23b-485175fe442a,BKN,0.933333333,0.575,0.428571429,32,6,17,9
2017,ef022e4b-4dac-4629-bbe2-e2c7ff3cdcf7,OKC,0.666666667,0.454545455,0.314285714,22,10,13,-7
2017,e4eb0411-6834-4118-9fe1-c4d4ff64161b,MIN,0.807692308,0.491525424,0.318181818,17,10,15,3
2017,2997e47d-dc07-4767-ae23-1be8939cef54,PHO,0.636363636,0.483333333,0.352941176,18,6,14,3
2017,3c93c845-1370-489e-9b89-6187bf5989b8,NY,0.666666667,0.484848485,0.217391304,20,11,17,-14
2017,e7c1e4fe-ca62-4d26-b1e1-4775cfde75b8,GS,0.863636364,0.607843137,0.461538462,32,6,17,5
2017,8a93418f-ed05-4389-a70f-be0015cbc77b,NY,0.913043478,0.56,0.40625,27,11,22,6
2017,0ff82bd4-9ab7-4cad-b310-a0ce05c0dc18,CLE,0.882352941,0.561403509,0.454545455,30,8,12,9
2019,e4504421-4a16-41f6-973b-c5b93de97bd7,PHO,0.761904762,0.636363636,0.411764706,34,7,5,26
2018,a06e2d72-e3f7-42d4-9f55-8190cc8639f4,HOU,0.866666667,0.633333333,0.383333333,28,9,9,16
2017,9530fb98-19d8-43ac-add0-bd1b1773c800,DEN,0.75,0.543859649,0.3125,31,13,16,3
2018,29785d9e-eb06-49ea-b1bf-087bf04de7a7,MIA,0.705882353,0.471698113,0.333333333,20,13,18,-10
2019,15d40890-ed51-420f-b869-91fe05e0b74a,MIA,0.888888889,0.430769231,0.36,16,13,14,3
